="Estimated Racial Achievement Gap Over the First Four Years of School, Math (Replication of Fryer and Levitt, 2006)"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="K- Entry",="Spring K",="Spring 1st",="Spring 3rd",="K- Entry",="Spring K",="Spring 1st",="Spring 3rd"

="Black",="-0.671***",="-0.706***",="-0.760***",="-0.885***",="-0.126***",="-0.214***",="-0.306***",="-0.412***"
="",="(0.030)",="(0.030)",="(0.030)",="(0.029)",="(0.030)",="(0.030)",="(0.030)",="(0.029)"

="Hispanic",="-0.714***",="-0.660***",="-0.581***",="-0.548***",="-0.213***",="-0.207***",="-0.167***",="-0.129***"
="",="(0.026)",="(0.025)",="(0.025)",="(0.025)",="(0.025)",="(0.025)",="(0.025)",="(0.025)"

="Asian",="0.121*",="0.119*",="0.024",="0.120**",="0.245***",="0.233***",="0.123**",="0.195***"
="",="(0.048)",="(0.047)",="(0.047)",="(0.045)",="(0.043)",="(0.043)",="(0.044)",="(0.042)"

="Other",="-0.445***",="-0.417***",="-0.474***",="-0.462***",="-0.164***",="-0.165***",="-0.244***",="-0.228***"
="",="(0.043)",="(0.042)",="(0.042)",="(0.041)",="(0.038)",="(0.038)",="(0.039)",="(0.038)"

="Age (in months)",="",="",="",="",="0.062***",="0.055***",="0.041***",="0.022***"
="",="",="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="Birth Weight (oz)",="",="",="",="",="0.003***",="0.003***",="0.002***",="0.003***"
="",="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="Female",="",="",="",="",="-0.003",="-0.037*",="-0.096***",="-0.188***"
="",="",="",="",="",="(0.017)",="(0.017)",="(0.017)",="(0.017)"

="Number of children's books",="",="",="",="",="0.002***",="0.002***",="0.002***",="0.001***"
="",="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="Mother over 30 at first birth",="",="",="",="",="0.166***",="0.108***",="0.090***",="0.072**"
="",="",="",="",="",="(0.026)",="(0.026)",="(0.026)",="(0.025)"

="Mother a teenager at first birth",="",="",="",="",="-0.117***",="-0.111***",="-0.107***",="-0.120***"
="",="",="",="",="",="(0.023)",="(0.023)",="(0.023)",="(0.022)"

="Socioeconomic status measure",="",="",="",="",="0.349***",="0.324***",="0.301***",="0.332***"
="",="",="",="",="",="(0.014)",="(0.014)",="(0.014)",="(0.013)"

="Mother receives WIC benefits",="",="",="",="",="-0.201***",="-0.173***",="-0.166***",="-0.202***"
="",="",="",="",="",="(0.022)",="(0.022)",="(0.022)",="(0.021)"

="Constant",="0.333***",="0.321***",="0.311***",="0.291***",="-4.502***",="-3.944***",="-2.902***",="-1.590***"
="",="(0.012)",="(0.012)",="(0.012)",="(0.012)",="(0.147)",="(0.149)",="(0.151)",="(0.146)"

="Observations",="10605",="10605",="10605",="10605",="10605",="10605",="10605",="10605"
="R-squared",="0.098",="0.095",="0.092",="0.111",="0.304",="0.266",="0.231",="0.259"

="Standard errors in parentheses"
="Note. Test scores are standardized IRT score. Non-Hispanic Whites are the omitted race category. Standard errors are in parentheses."
="* p<0.05, ** p<0.01, *** p<0.001"
