="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="Std. Spring 1st Grade Achievement",="Std. Spring 1st Grade Achievement",="Std. Spring 1st Grade Achievement",="Std. Spring 1st Grade Achievement",="Spring K to 1st Achievement",="Spring K to 1st Achievement",="Spring K to 1st Achievement",="Spring K to 1st Achievement",="Std. Spring 1st Grade Achievement",="Std. Spring 1st Grade Achievement",="Std. Spring 1st Grade Achievement",="Std. Spring 1st Grade Achievement"
="Standardized values of timeacadem2",="-0.047***",="0.019*",="-0.010",="-0.010",="-0.032***",="-0.030***",="-0.001",="-0.001",="-0.035***",="-0.019***",="-0.003",="-0.003"
="",="(0.010)",="(0.009)",="(0.014)",="(0.015)",="(0.006)",="(0.006)",="(0.009)",="(0.010)",="(0.006)",="(0.006)",="(0.009)",="(0.009)"
="dblack",="",="-0.242***",="-0.212***",="-0.212***",="",="-0.113***",="-0.045",="-0.045",="",="-0.143***",="-0.082**",="-0.082**"
="",="",="(0.030)",="(0.041)",="(0.041)",="",="(0.021)",="(0.027)",="(0.026)",="",="(0.019)",="(0.026)",="(0.025)"
="dhispanic",="",="-0.143***",="-0.134***",="-0.134***",="",="0.010",="0.015",="0.015",="",="-0.026",="-0.018",="-0.018"
="",="",="(0.027)",="(0.034)",="(0.036)",="",="(0.018)",="(0.023)",="(0.025)",="",="(0.017)",="(0.021)",="(0.023)"
="dasian",="",="0.193***",="0.198***",="0.198***",="",="-0.084**",="-0.012",="-0.012",="",="-0.018",="0.035",="0.035"
="",="",="(0.043)",="(0.048)",="(0.057)",="",="(0.030)",="(0.032)",="(0.038)",="",="(0.028)",="(0.030)",="(0.033)"
="dother",="",="-0.202***",="-0.065",="-0.065",="",="-0.094***",="-0.007",="-0.007",="",="-0.119***",="-0.020",="-0.020"
="",="",="(0.039)",="(0.047)",="(0.047)",="",="(0.027)",="(0.031)",="(0.034)",="",="(0.025)",="(0.030)",="(0.030)"
="Age (in years)",="",="0.352***",="0.270***",="0.270***",="",="-0.188***",="-0.206***",="-0.206***",="",="-0.060***",="-0.099***",="-0.099***"
="",="",="(0.025)",="(0.027)",="(0.030)",="",="(0.017)",="(0.018)",="(0.019)",="",="(0.016)",="(0.017)",="(0.019)"
="Female",="",="0.036*",="0.023",="0.023",="",="-0.041***",="-0.041***",="-0.041***",="",="-0.023*",="-0.027*",="-0.027*"
="",="",="(0.017)",="(0.017)",="(0.019)",="",="(0.012)",="(0.012)",="(0.012)",="",="(0.011)",="(0.011)",="(0.012)"
="Child birth weight",="",="0.002***",="0.002***",="0.002***",="",="-0.000",="-0.000",="-0.000",="",="0.000",="0.000",="0.000"
="",="",="(0.000)",="(0.000)",="(0.000)",="",="(0.000)",="(0.000)",="(0.000)",="",="(0.000)",="(0.000)",="(0.000)"
="Number of children's books",="",="0.001***",="0.001***",="0.001***",="",="0.000",="-0.000",="-0.000",="",="0.000***",="0.000",="0.000"
="",="",="(0.000)",="(0.000)",="(0.000)",="",="(0.000)",="(0.000)",="(0.000)",="",="(0.000)",="(0.000)",="(0.000)"
="Mother over 30 at first birth",="",="0.120***",="0.079**",="0.079**",="",="-0.060**",="-0.068***",="-0.068**",="",="-0.017",="-0.035*",="-0.035"
="",="",="(0.027)",="(0.028)",="(0.030)",="",="(0.019)",="(0.019)",="(0.022)",="",="(0.018)",="(0.018)",="(0.020)"
="Mother a teenager at first birth",="",="-0.075**",="-0.051*",="-0.051*",="",="0.019",="0.017",="0.017",="",="-0.003",="0.002",="0.002"
="",="",="(0.023)",="(0.024)",="(0.024)",="",="(0.016)",="(0.016)",="(0.015)",="",="(0.015)",="(0.015)",="(0.015)"
="Socioeconomic status measure",="",="0.284***",="0.224***",="0.224***",="",="-0.002",="0.007",="0.007",="",="0.066***",="0.056***",="0.056***"
="",="",="(0.017)",="(0.018)",="(0.021)",="",="(0.012)",="(0.012)",="(0.014)",="",="(0.011)",="(0.012)",="(0.013)"
="Mother receives Wic benefits",="",="-0.167***",="-0.128***",="-0.128***",="",="-0.003",="0.004",="0.004",="",="-0.042**",="-0.025",="-0.025"
="",="",="(0.022)",="(0.023)",="(0.024)",="",="(0.015)",="(0.016)",="(0.016)",="",="(0.014)",="(0.015)",="(0.015)"
="Mother Ed- High School/Some College",="",="0.130***",="0.126***",="0.126***",="",="0.017",="0.018",="0.018",="",="0.044*",="0.042*",="0.042*"
="",="",="(0.032)",="(0.033)",="(0.033)",="",="(0.022)",="(0.022)",="(0.021)",="",="(0.021)",="(0.021)",="(0.021)"
="Mother Ed- College Graduate",="",="0.252***",="0.232***",="0.232***",="",="0.025",="0.016",="0.016",="",="0.079**",="0.065*",="0.065*"
="",="",="(0.045)",="(0.045)",="(0.050)",="",="(0.030)",="(0.030)",="(0.031)",="",="(0.029)",="(0.029)",="(0.030)"
="Std. Spring K Achievement",="",="",="",="",="",="",="",="",="0.810***",="0.763***",="0.776***",="0.776***"
="",="",="",="",="",="",="",="",="",="(0.006)",="(0.007)",="(0.007)",="(0.011)"
="Constant",="0.109***",="-2.326***",="-1.839***",="-1.839***",="0.010",="1.144***",="1.228***",="1.228***",="0.029***",="0.321**",="0.541***",="0.541***"
="",="(0.010)",="(0.157)",="(0.168)",="(0.180)",="(0.006)",="(0.107)",="(0.113)",="(0.119)",="(0.006)",="(0.103)",="(0.108)",="(0.114)"
="Observations",="9440",="9440",="9440",="9440",="9440",="9440",="9440",="9440",="9440",="9440",="9440",="9440"
="R-squared",="0.002",="0.242",="0.370",="0.370",="0.003",="0.022",="0.220",="0.220",="0.675",="0.688",="0.749",="0.749"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
